Team,,Rec,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,,SSF,,EW,EL
Columbia,Ivy League,"14-6",0.700,+14,182,6.85,230,27.77,174,91.42,286,13.81,2.75,287,26.23,255,27.18,3.54,4.46
New Mexico St,Conference USA,"10-10",0.500,-40,183,6.85,152,32.26,219,89.69,112,20.03,2.89,203,28.60,160,29.92,4.90,5.10
N Colorado,Big Sky,"12-10",0.545,-15,184,6.84,170,31.46,94,95.33,293,13.60,2.66,231,27.81,231,27.87,5.51,3.49
N Kentucky,Horizon,"14-9",0.609,-15,185,6.83,183,30.39,148,92.40,233,15.45,2.85,286,26.28,269,26.92,5.05,3.95
Robert Morris,Horizon,"14-9",0.609,+4,186,6.83,196,29.45,198,90.55,207,16.36,2.77,263,26.92,239,27.58,3.98,4.02
James Madison,Sun Belt,"11-11",0.500,+22,187,6.83,180,30.70,182,91.30,192,16.86,2.83,170,29.47,209,28.52,5.83,3.17
TAM C. Christi,Southland,"11-10",0.524,-12,188,6.83,178,30.73,275,87.58,103,20.62,2.78,215,28.21,235,27.68,6.34,3.66
Elon,Coastal,"13-9",0.591,-11,189,6.82,215,28.23,138,92.73,312,12.96,2.80,217,28.16,207,28.55,4.12,4.88
Ohio,"Mid-American","11-11",0.500,-11,190,6.82,182,30.39,136,93.01,251,14.85,2.95,172,29.43,172,29.50,4.71,4.29
Buffalo,"Mid-American","14-7",0.667,+2,191,6.81,239,27.26,168,91.70,310,13.02,2.75,284,26.35,240,27.56,4.10,5.90
